,0,1,2,3,4,5,6,7
2020-07-01,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty
2020-07-08,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty
2020-07-15,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty
2020-07-22,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty
2020-07-29,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty
2020-08-05,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty
2020-08-12,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty
2020-08-19,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty
2020-08-26,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty
2020-09-02,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty
2020-09-09,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty
2020-09-16,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty
2020-09-23,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty
2020-09-30,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty
2020-10-07,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty
2020-10-14,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty
2020-10-21,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty
2020-10-28,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty
2020-11-04,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty,DETN21 Comdty
2020-11-11,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty,DETN21 Comdty
2020-11-18,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty,DETN21 Comdty
2020-11-25,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty,DETN21 Comdty
2020-12-02,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty,DETN21 Comdty,DETQ21 Comdty
2020-12-09,DETF21 Comdty,DETG21 Comdty,DETH21 Comdty,DETJ21 Comdty,DETK21 Comdty,DETM21 Comdty,DETN21 Comdty,DETQ21 Comdty
